S.No,7122018,8122018,10122018,11122018,12122018,13122018,14122018,15122018
,80.0,91.0,108.0,121.0,112.0,75.0,125.0,12.0
,80.0,,,,,,,
,1.0,91.0,108.0,121.0,112.0,75.0,125.0,12.0
,,20.0,138.0,149.0,80.0,122.0,67.0,33.0
,,125.0,,12.0,93.0,109.0,147.0,74.0
,,75.0,,82.0,83.0,144.0,119.0,15.0
,,25.0,,88.0,166.0,128.0,98.0,76.0
,,114.0,,90.0,136.0,134.0,161.0,40.0
,,115.0,,26.0,162.0,117.0,159.0,44.0
,,116.0,,27.0,171.0,129.0,160.0,62.0
,,102.0,,123.0,138.0,111.0,124.0,43.0
,,108.0,,15.0,31.0,7.0,131.0,17.0
,,126.0,,33.0,151.0,161.0,118.0,28.0
,,175.0,,30.0,156.0,119.0,120.0,124.0
,,69.0,,74.0,145.0,135.0,130.0,106.0
,,1.0,,76.0,155.0,147.0,71.0,129.0
,,3.0,,43.0,152.0,104.0,104.0,132.0
,,4.0,,62.0,107.0,165.0,171.0,122.0
,,0.0,,61.0,143.0,125.0,165.0,128.0
,,158.0,,28.0,140.0,121.0,166.0,111.0
,,61.0,,17.0,116.0,113.0,164.0,109.0
,,153.0,,13.0,113.0,115.0,20.0,147.0
,,166.0,,49.0,133.0,116.0,170.0,151.0
,,168.0,,36.0,,50.0,169.0,92.0
,,81.0,,63.0,,170.0,19.0,148.0
,,112.0,,45.0,,158.0,102.0,161.0
,,100.0,,22.0,,77.0,116.0,159.0
,,167.0,,65.0,,58.0,126.0,160.0
,,138.0,,67.0,,86.0,108.0,117.0
,,97.0,,68.0,,108.0,135.0,94.0
,,150.0,,117.0,,126.0,105.0,95.0
,,162.0,,106.0,,93.0,93.0,96.0
,,136.0,,132.0,,168.0,154.0,141.0
,,80.0,,122.0,,139.0,112.0,142.0
,,83.0,,168.0,,146.0,146.0,2.0
,,154.0,,166.0,,175.0,139.0,75.0
,,77.0,,144.0,,72.0,163.0,102.0
,,145.0,,95.0,,145.0,137.0,108.0
,,171.0,,96.0,,107.0,162.0,126.0
,,152.0,,94.0,,156.0,151.0,116.0
,,155.0,,140.0,,155.0,155.0,68.0
,,151.0,,161.0,,151.0,156.0,162.0
,,45.0,,159.0,,143.0,145.0,163.0
,,58.0,,129.0,,142.0,142.0,101.0
,,78.0,,157.0,,141.0,58.0,71.0
,,22.0,,109.0,,10.0,52.0,31.0
,,156.0,,92.0,,63.0,,41.0
,,59.0,,164.0,,61.0,,153.0
,,107.0,,160.0,,131.0,,112.0
,,157.0,,19.0,,162.0,,93.0
,,144.0,,69.0,,,,158.0
,,10.0,,146.0,,,,150.0
,,133.0,,137.0,,,,85.0
,,109.0,,112.0,,,,145.0
,,7.0,,154.0,,,,144.0
,,8.0,,136.0,,,,156.0
,,50.0,,153.0,,,,155.0
,,87.0,,101.0,,,,152.0
,,93.0,,93.0,,,,157.0
,,173.0,,11.0,,,,107.0
,,88.0,,72.0,,,,58.0
,,2.0,,141.0,,,,83.0
,,104.0,,145.0,,,,72.0
,,121.0,,156.0,,,,18.0
,,44.0,,115.0,,,,53.0
,,19.0,,114.0,,,,121.0
,,27.0,,119.0,,,,
,,26.0,,120.0,,,,
,,,,66.0,,,,
,,,,87.0,,,,
,,,,52.0,,,,
,,,,107.0,,,,
,,,,162.0,,,,
,,,,31.0,,,,
